Kalenderår;Kod;Benämning;Omfattning;Enhet;Nivå inom studieordning;Kvinnor;Män;Total
"2018";"BE3002";"Numeriska metoder för fysiker I";"7,5";"HP";"Grundnivå";"0";"0,05";"0,05"
"2019";"BE3002";"Numeriska metoder för fysiker I";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2021";"BE3002";"Numeriska metoder för fysiker I";"7,5";"HP";"Grundnivå";"0";"0,05";"0,05"
"2017";"BE3003";"Numeriska metoder";"7,5";"HP";"Grundnivå";"0,275";"0,125";"0,4"
"2018";"BE3003";"Numeriska metoder";"7,5";"HP";"Grundnivå";"0,075";"0,325";"0,4"
"2019";"BE3003";"Numeriska metoder";"7,5";"HP";"Grundnivå";"0";"0,375";"0,375"
"2017";"BE3009";"Tillämpade numeriska metoder";"7,5";"HP";"Grundnivå";"0";"0,2";"0,2"
"2018";"BE3009";"Tillämpade numeriska metoder";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2019";"BE3009";"Tillämpade numeriska metoder";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2020";"BE3009";"Tillämpade numeriska metoder";"7,5";"HP";"Grundnivå";"0,2";"0,075";"0,275"
"2021";"BE3009";"Tillämpade numeriska metoder";"7,5";"HP";"Grundnivå";"0,125";"0,075";"0,2"
"2017";"BE7001";"Numeriska metoder för fysiker II";"7,5";"HP";"Avancerad nivå";"0";"0,9";"0,9"
"2018";"BE7001";"Numeriska metoder för fysiker II";"7,5";"HP";"Avancerad nivå";"0,125";"0,7";"0,825"
"2019";"BE7001";"Numeriska metoder för fysiker II";"7,5";"HP";"Avancerad nivå";"0,125";"0,8";"0,925"
"2020";"BE7001";"Numeriska metoder för fysiker II";"7,5";"HP";"Avancerad nivå";"0,15";"0,9";"1,05"
"2021";"BE7001";"Numeriska metoder för fysiker II";"7,5";"HP";"Avancerad nivå";"0,3";"0,7";"1,0"
"2020";"BE7006";"Beräkningsmetoder för stokastiska differentialekvationer";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2019";"BE7008";"Numerisk behandling av differentialekvationer";"7,5";"HP";"Avancerad nivå";"0";"0,375";"0,375"
"2018";"BE7009";"Avancerade numeriska metoder";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2019";"BE7009";"Avancerade numeriska metoder";"7,5";"HP";"Avancerad nivå";"0";"0,375";"0,375"
"2020";"BE7009";"Avancerade numeriska metoder";"7,5";"HP";"Avancerad nivå";"0";"0,43333";"0,43333"
"2021";"BE7009";"Avancerade numeriska metoder";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2017";"BE7012";"Parallella datorberäkningar för storskaliga problem";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2018";"BE7012";"Parallella datorberäkningar för storskaliga problem";"7,5";"HP";"Avancerad nivå";"0";"0,375";"0,375"
"2020";"BE7012";"Parallella datorberäkningar för storskaliga problem";"7,5";"HP";"Avancerad nivå";"0,125";"0";"0,125"
"2021";"BE7012";"Parallella datorberäkningar för storskaliga problem";"7,5";"HP";"Avancerad nivå";"0,125";"0";"0,125"
"2017";"BE7013";"Finita elementmetoden";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2018";"BE7013";"Finita elementmetoden";"7,5";"HP";"Avancerad nivå";"0";"0,375";"0,375"
"2019";"BE7013";"Finita elementmetoden";"7,5";"HP";"Avancerad nivå";"0";"0,625";"0,625"
"2020";"BE7013";"Finita elementmetoden";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2021";"BE7013";"Finita elementmetoden";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2017";"DA2001";"Datalogi I";"15,0";"HP";"Grundnivå";"2,0";"5,125";"7,125"
"2018";"DA2001";"Datalogi I";"15,0";"HP";"Grundnivå";"1,25";"7,25";"8,5"
"2019";"DA2001";"Datalogi I";"15,0";"HP";"Grundnivå";"0,625";"2,625";"3,25"
"2017";"DA2002";"Introduktion till programmering och datalogiskt tänkande";"3,0";"HP";"Grundnivå";"0,12333";"0,08667";"0,21"
"2018";"DA2002";"Introduktion till programmering och datalogiskt tänkande";"3,0";"HP";"Grundnivå";"0,01167";"0";"0,01167"
"2017";"DA2003";"Programmeringsteknik";"6,0";"HP";"Grundnivå";"5,025";"12,925";"17,95"
"2018";"DA2003";"Programmeringsteknik";"6,0";"HP";"Grundnivå";"0,575";"1,675";"2,25"
